date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:34	133/133	---MCZ	200	added ('OK')	text/plain	etag:W/%22993ab13f49ef6914c9d08df000695d97%22	https://one.quizzigo.com/robots.txt		(from )
00:26:34	21954/21954	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Sep%202025%2009:01:16%20GMT	https://one.quizzigo.com/	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/index.html	(from )
00:26:34	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22d66e4d6631cebba0dcfb8916cd50f901%22	https://one.quizzigo.com/favicon.ico	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/favicon.ico	(from https://one.quizzigo.com/)
00:26:34	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	H:/My%20Site/https___one.quizzigo.com_/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://one.quizzigo.com/)
00:26:35	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	H:/My%20Site/https___one.quizzigo.com_/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://one.quizzigo.com/)
00:26:35	328/328	---MCZ	200	added ('OK')	text/css	etag:W/%22fa46a3fd15f14b5206d668688f73bfba%22	https://one.quizzigo.com/assets/app.css	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/app.css	(from https://one.quizzigo.com/)
00:26:35	196462/196462	---M--	200	added ('OK')	text/javascript	etag:17291089661138336231	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9763571275522161	H:/My%20Site/https___one.quizzigo.com_/pagead2.googlesyndication.com/pagead/js/f723f.txt	(from https://one.quizzigo.com/)
00:26:36	685/685	---MCZ	200	added ('OK')	application/javascript	etag:W/%22feceae3361e84a3db3c257351762d637%22	https://cdn.onesignal.com/sdks/web/v16/OneSignalSDK.page.js	H:/My%20Site/https___one.quizzigo.com_/cdn.onesignal.com/sdks/web/v16/OneSignalSDK.page.js	(from https://one.quizzigo.com/)
00:26:37	3668/3668	---M--	200	added ('OK')	image/png	etag:%220ce48b1f6b869a319893b3309e801943%22	https://one.quizzigo.com/assets/images/Arabic.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Arabic.png	(from https://one.quizzigo.com/)
00:26:38	5850/5850	---M--	200	added ('OK')	image/png	etag:%223d71a8b4cb89565a3e4d6f477fdb3ca5%22	https://one.quizzigo.com/assets/images/English.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/English.png	(from https://one.quizzigo.com/)
00:26:38	2877/2877	---M--	200	added ('OK')	image/png	etag:%227015cc982b67d49295c96615c40b561d%22	https://one.quizzigo.com/assets/images/Hindi.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Hindi.png	(from https://one.quizzigo.com/)
00:26:38	3037/3037	---M--	200	added ('OK')	image/png	etag:%227c4da36a650864decc29f2c9eb3d243e%22	https://one.quizzigo.com/assets/images/Spanish.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Spanish.png	(from https://one.quizzigo.com/)
00:26:38	3478/3478	---M--	200	added ('OK')	image/png	etag:%22f352b3c44a706c90f950742f81e2a0f1%22	https://one.quizzigo.com/assets/images/French.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/French.png	(from https://one.quizzigo.com/)
00:26:38	2295722/2295722	---M--	200	added ('OK')	image/png	etag:%2252886fb4061c09f5f1173de2a5a9dae8%22	https://one.quizzigo.com/assets/images/SPLASH.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/SPLASH.png	(from https://one.quizzigo.com/)
00:26:39	3111/3111	---M--	200	added ('OK')	image/png	etag:%221cb10b28604acceb4fbbbfb5ea3cf5b6%22	https://one.quizzigo.com/assets/images/Portuguese.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Portuguese.png	(from https://one.quizzigo.com/)
00:26:39	3011/3011	---M--	200	added ('OK')	image/png	etag:%222f60f94dbac87063db73bf6221705517%22	https://one.quizzigo.com/assets/images/Russian.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Russian.png	(from https://one.quizzigo.com/)
00:26:39	3189/3189	---M--	200	added ('OK')	image/png	etag:%2201be6dc7a9ec4b13e5697cb414220b96%22	https://one.quizzigo.com/assets/images/Turkey.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Turkey.png	(from https://one.quizzigo.com/)
00:26:39	3377/3377	---M--	200	added ('OK')	image/png	etag:%22331cbe3f782c4e3fc2c5c86dea9f5b99%22	https://one.quizzigo.com/assets/images/Marathi.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Marathi.png	(from https://one.quizzigo.com/)
00:26:39	2643/2643	---M--	200	added ('OK')	image/png	etag:%22508976f3b393f79da70895552c7fba66%22	https://one.quizzigo.com/assets/images/Telugu.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Telugu.png	(from https://one.quizzigo.com/)
00:26:40	3467/3467	---M--	200	added ('OK')	image/png	etag:%227553fb3066c1d3b71e98a57802350d9f%22	https://one.quizzigo.com/assets/images/Vietnamese.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Vietnamese.png	(from https://one.quizzigo.com/)
00:26:40	3593/3593	---M--	200	added ('OK')	image/png	etag:%2283f68882a599f8ce378c6ab1d40f5abe%22	https://one.quizzigo.com/assets/images/Others.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/Others.png	(from https://one.quizzigo.com/)
00:26:40	36060/36060	---MCZ	200	added ('OK')	text/javascript	etag:W/%229acda57d78f91591a8761b31385c6321%22	https://one.quizzigo.com/bootstrap.min.js	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/bootstrap.min.js	(from https://one.quizzigo.com/)
00:26:41	280444/280444	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b7eb7bb343e26936a257e700f6d6f682%22	https://one.quizzigo.com/country_content.js	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/country_content.js	(from https://one.quizzigo.com/)
00:26:41	10138/10138	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Sep%202025%2009:01:10%20GMT	https://one.quizzigo.com/country.html	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/country.html	(from https://one.quizzigo.com/)
00:26:42	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Wed,%2003%20Sep%202025%2018:56:43%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	H:/My%20Site/https___one.quizzigo.com_/translate.google.com/translate_a/element.17a0d8.delayed	(from https://one.quizzigo.com/country.html)
00:26:42	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b51-3cbp6tbRaukjc5nOQejBYgzFnDY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	H:/My%20Site/https___one.quizzigo.com_/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	(from https://one.quizzigo.com/)
00:26:42	78705/78705	---MC-	200	added ('OK')	text/javascript	date:Wed,%2003%20Sep%202025%2018:56:43%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	H:/My%20Site/https___one.quizzigo.com_/translate.google.com/translate_a/elementa0d8.js	(from https://one.quizzigo.com/country.html)
00:26:43	6875/6875	---M--	200	added ('OK')	image/png	etag:%22edcbd43550bc941e218c739b1401e84e%22	https://one.quizzigo.com/assets/images/India.png	H:/My%20Site/https___one.quizzigo.com_/one.quizzigo.com/assets/images/India.png	(from https://one.quizzigo.com/country.html)
